id,author,content
1,M. Olivia H,"Berbahagialah yang tidak melihat (soal) namun percaya (kalau persis)."
2,Carol Burnett,"When you have a dream, you've got to grab it and never let go."
3,Audrey Hepburn,"Nothing is impossible. The word itself says 'I'm possible!'"
4,Walt Whitman,"Keep your face always toward the sunshine, and shadows will fall behind you."
5,Winston Churchill,"Success is not final, failure is not fatal: it is the courage to continue that counts."
6,Malala Yousafzai,"You are never too old to set another goal or to dream a new dream."
7,Mother Teresa,"Spread love everywhere you go."
8,Kesha,"You can be everything. You can be the infinite amount of things that people are."
9,Theodore Roosevelt,"Believe you can and you're halfway there."
10,William Ellery Channing,"Faith is love taking the form of aspiration."